friday,monday,fri_close,mon_open,gap,gap_pct,gap_direction,fills_in_4h,fills_in_24h,never_fills,mon_persistence_pct,continued,h1_mom_4bar_pct,h1_mom_sign,gap_sign
2022-09-02,2022-09-05,1712.39,1712.27,-0.12000000000011823,-0.007007749402888256,down,True,True,False,-0.03504120261406841,True,-0.03562522265763146,-1.0,-1.0
2022-09-09,2022-09-12,1717.11,1717.25,0.14000000000010004,0.008153234213306082,up,True,True,False,0.42335128839714553,True,-0.041927500363958536,-1.0,1.0
2022-09-16,2022-09-19,1675.26,1675.01,-0.25,-0.014923056719553981,down,True,True,False,0.032238613500812745,False,-0.19820777189389904,-1.0,-1.0
2022-09-23,2022-09-26,1643.97,1645.5,1.5299999999999727,0.09306739174072354,up,True,True,False,-1.3752658766332488,False,-0.314797933758737,-1.0,1.0
2022-09-30,2022-10-03,1660.87,1660.57,-0.2999999999999545,-0.01806282249664059,down,True,True,False,2.360033000716625,False,0.496817357895174,1.0,-1.0
2022-10-07,2022-10-10,1694.89,1695.59,0.6999999999998181,0.04130061537915842,up,True,True,False,-1.6194952789294468,False,-0.0896443125991575,-1.0,1.0
2022-10-14,2022-10-17,1644.31,1643.94,-0.36999999999989086,-0.02250183967742645,down,True,True,False,0.40634086402179137,False,0.48481088117571236,1.0,-1.0
2022-10-21,2022-10-24,1657.82,1659.04,1.2200000000000273,0.07359061900568381,up,True,True,False,-0.5774423763140085,False,-0.32006461568135913,-1.0,1.0
2022-10-28,2022-10-31,1644.72,1643.36,-1.3600000000001273,-0.08268884673379828,down,True,True,False,-0.5951221886865917,True,-0.11622529451853492,-1.0,-1.0
2022-11-04,2022-11-07,1681.07,1674.95,-6.119999999999891,-0.3640538466571821,down,False,True,False,0.018508015164628522,False,-0.14925818681155167,-1.0,-1.0
2022-11-11,2022-11-14,1770.89,1764.97,-5.920000000000073,-0.3342951849070282,down,False,True,False,0.3614792319416127,False,-0.10878371870344239,-1.0,-1.0
2022-11-18,2022-11-21,1750.77,1750.63,-0.13999999999987267,-0.007996481548111554,down,True,True,False,-0.714599886897872,True,-0.35701433198334076,-1.0,-1.0
2022-11-25,2022-11-28,1755.45,1754.64,-0.8099999999999454,-0.04614201486797946,down,True,True,False,-0.742602471162187,True,-0.2479141020380271,-1.0,-1.0
2022-12-02,2022-12-05,1797.86,1797.06,-0.7999999999999545,-0.0444973468456918,down,True,True,False,-1.5803590308615107,True,0.5497868741166201,1.0,-1.0
2022-12-09,2022-12-12,1797.22,1796.44,-0.7799999999999727,-0.04340036278251815,down,False,False,True,-0.8327581216183138,True,-0.455901672196124,-1.0,-1.0
2022-12-16,2022-12-19,1793.01,1792.8,-0.21000000000003638,-0.011712148844682205,down,True,True,False,-0.29339580544399774,True,0.0942659526997014,1.0,-1.0
2023-01-06,2023-01-09,1865.89,1867.65,1.759999999999991,0.09432496020665691,up,False,False,True,0.2114957299279746,True,0.6141407651326425,1.0,1.0
2023-01-13,2023-01-16,1920.15,1919.8,-0.3500000000001364,-0.018227742624281246,down,True,True,False,-0.28596728825919415,True,0.44015001562662803,1.0,-1.0
2023-01-20,2023-01-23,1925.93,1925.81,-0.12000000000011823,-0.006230756050329879,down,True,True,False,0.28247854149682755,False,0.3079223807125331,1.0,-1.0
2023-01-27,2023-01-30,1928.23,1928.02,-0.21000000000003638,-0.0108908169668575,down,True,True,False,-0.25155340712232804,True,-0.08402402464704473,-1.0,-1.0
2023-02-03,2023-02-06,1865.66,1861.97,-3.6900000000000546,-0.19778523417986418,down,True,True,False,0.30290498772804464,False,0.6170883526587456,1.0,-1.0
2023-02-10,2023-02-13,1865.22,1864.66,-0.5599999999999454,-0.030023268032722435,down,True,True,False,-0.6001094033228607,True,-0.1710767646648792,-1.0,-1.0
2023-02-17,2023-02-20,1842.44,1840.87,-1.5700000000001637,-0.0852130869933438,down,True,True,False,0.023901742111070018,False,0.07387811197967498,1.0,-1.0
2023-02-24,2023-02-27,1810.69,1810.85,0.15999999999985448,0.008836410429165373,up,True,True,False,0.3456940110997593,True,0.05025264378606398,1.0,1.0
2023-03-03,2023-03-06,1855.22,1854.75,-0.4700000000000273,-0.025333922661464798,down,True,True,False,-0.42593341420677133,True,-0.05661140315406099,-1.0,-1.0
2023-03-10,2023-03-13,1867.04,1881.8,14.759999999999991,0.7905561744793893,up,False,False,True,1.679774683813377,True,-0.4649803379742745,-1.0,1.0
2023-03-17,2023-03-20,1988.08,1985.23,-2.849999999999909,-0.14335439217737259,down,True,True,False,-0.3238919419916112,True,-0.7888254761413083,-1.0,-1.0
